hour_utc|n|avg|p50|p90|max|failures
2026-09-22 11:00|588|48630|46260|84662|115096|0
2026-09-22 12:00|1724|56224|49374|102897|155010|2
2026-09-22 13:00|3425|79834|74286|141479|213386|5
2026-09-22 14:00|3143|80691|80051|132013|194545|1
2026-09-22 15:00|2295|77266|73831|128906|186980|2
2026-09-22 16:00|2077|74457|75205|120239|154706|1
2026-09-22 17:00|2250|72879|68096|125845|175336|0
2026-09-22 18:00|1327|57781|54945|101959|176773|0
2026-09-22 19:00|1584|50040|47534|86468|121355|0
2026-09-22 20:00|1885|55815|54621|91771|162742|1
2026-09-22 21:00|1275|49621|49603|75695|125563|0
2026-09-22 22:00|2086|65221|61092|112518|164952|15
2026-09-22 23:00|1709|89088|93967|143456|187197|74
2026-09-23 00:00|1598|75074|69251|132794|192868|1
2026-09-23 01:00|1428|70260|66800|127455|197294|20
2026-09-23 02:00|1434|100672|99890|179822|249043|110
2026-09-23 03:00|1514|68216|60072|150436|251443|348
2026-09-23 04:00|1208|82444|71241|155703|208189|8
2026-09-23 05:00|1823|84784|73084|167331|249168|1
2026-09-23 06:00|1323|94710|90940|164425|268759|0
2026-09-23 07:00|529|70769|63277|160291|207565|1
2026-09-23 08:00|605|80986|68351|161762|253396|0
2026-09-23 09:00|264|50466|21854|184463|222130|110
2026-09-23 10:00|176|32480|0|89888|119985|92
2026-09-23 11:00|109|33504|0|112137|144710|61
2026-09-23 12:00|147|51435|47251|132542|146432|64
2026-09-23 13:00|192|22181|0|60856|125600|103
2026-09-23 14:00|190|36182|29426|96007|117624|90
2026-09-23 15:00|276|35522|26187|91106|125310|123
2026-09-23 16:00|136|26876|24544|71211|104773|67
2026-09-23 17:00|737|49791|31934|120746|221754|219
2026-09-23 18:00|629|64456|41410|163011|212572|204
2026-09-23 19:00|1589|45660|44591|68212|215438|66
2026-09-23 20:00|1723|45507|43718|76383|113085|98
2026-09-23 21:00|1811|45838|43246|77559|127534|129
2026-09-23 22:00|1596|57405|59104|94826|142667|159
2026-09-23 23:00|948|48181|50502|89032|124719|190
2026-09-24 00:00|448|38473|33048|87999|153005|146
2026-09-24 01:00|26|67031|104195|115672|116732|10
2026-09-24 02:00|214|41333|31748|94954|123614|56
2026-09-24 03:00|455|33862|33052|55653|80846|36
2026-09-24 04:00|248|20957|24738|36200|43460|66
2026-09-24 05:00|543|50740|47609|88523|134725|54
2026-09-24 07:00|19|21477|20151|27246|32883|0
2026-09-24 08:00|53|59616|62056|79317|84176|1
2026-09-24 09:00|18|67122|77832|84994|87446|0
2026-09-24 11:00|149|46716|40757|75090|92296|3
